                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3386,                 4.0258,                 3.8572,                0.34868,                0.01922,                0.00648,                 0.0018,                 3.0842,                 5.4741,                 3.4859,             0.00047468,             0.00047468,             0.00047468
                      2,                 2.7082,                 3.6096,                 3.0335,                0.07195,                0.05911,                0.02905,                0.00913,                 2.6013,                 3.5056,                 2.9352,              0.0009416,              0.0009416,              0.0009416
                      3,                 2.3544,                 3.1414,                 2.5973,                0.14657,                0.16244,                0.05259,                0.01869,                 2.4291,                 3.4884,                 2.7239,              0.0013991,              0.0013991,              0.0013991
                      4,                 2.2142,                 2.9152,                 2.4137,                 0.2197,                0.15851,                0.10941,                0.04432,                 2.3001,                 3.1602,                 2.5376,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.1014,                 2.7699,                 2.2947,                  0.389,                0.16528,                0.14597,                0.06091,                 2.1833,                  2.897,                 2.4675,              0.0013866,              0.0013866,              0.0013866
                      6,                 2.0171,                 2.6439,                 2.2242,                 0.2968,                0.21071,                0.16177,                0.07011,                 2.1118,                 2.7368,                 2.4039,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.9678,                 2.5492,                 2.1678,                0.28805,                0.26787,                0.20769,                0.10024,                 2.0017,                 2.5211,                 2.2574,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.9252,                 2.4713,                 2.1185,                0.37657,                0.23311,                0.21863,                0.10492,                 1.9895,                 2.5354,                 2.2564,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.8748,                 2.4219,                 2.0919,                0.34301,                0.29217,                0.25297,                0.12743,                 1.9581,                 2.4346,                 2.2039,                0.00133,                0.00133,                0.00133
                     10,                 1.8462,                 2.3338,                 2.0399,                0.40853,                0.29866,                0.26232,                0.13471,                 1.9197,                 2.4029,                 2.1873,              0.0013158,              0.0013158,              0.0013158
                     11,                  1.824,                 2.2911,                 2.0172,                0.46098,                 0.2903,                0.27822,                0.14155,                 1.8782,                 2.2976,                 2.1439,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.7945,                 2.2546,                 1.9992,                0.43032,                0.31194,                 0.3036,                0.15949,                  1.872,                 2.2656,                 2.0912,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.7923,                 2.2092,                 1.9728,                0.42534,                 0.3374,                0.30191,                0.15737,                 1.8637,                 2.2325,                 2.0892,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.7728,                 2.1783,                 1.9531,                0.45156,                0.26463,                0.28627,                 0.1493,                 1.9053,                  2.383,                 2.1447,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.7342,                 2.1425,                 1.9272,                0.48854,                0.33623,                0.34063,                0.17914,                 1.8649,                 2.2377,                 2.0531,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.7193,                 2.1107,                 1.9204,                0.50599,                0.34599,                0.35541,                0.18423,                 1.8435,                 2.1133,                 2.0666,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.7166,                 2.0977,                 1.9094,                0.46842,                0.35088,                 0.3498,                0.19232,                 1.8021,                 2.0793,                 2.0139,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.6945,                  2.065,                 1.8966,                 0.4741,                0.35966,                0.35577,                0.19223,                 1.8022,                 2.0652,                 2.0257,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.6852,                  2.037,                 1.8692,                0.45598,                0.37096,                0.35749,                0.19194,                 1.7821,                 2.1044,                 1.9977,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.6635,                 2.0068,                 1.8612,                0.49335,                0.36687,                0.36337,                0.19595,                  1.768,                 2.0363,                 1.9949,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.6505,                 2.0014,                 1.8474,                0.54292,                0.38184,                0.38711,                0.21182,                  1.762,                 1.9743,                 1.9936,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.6532,                 1.9903,                 1.8516,                0.49075,                0.38777,                0.39949,                0.21696,                 1.7663,                 1.9493,                 1.9711,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.6407,                 1.9494,                 1.8253,                0.51878,                0.39496,                0.39386,                0.21465,                 1.7403,                 1.9358,                 1.9483,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.6289,                 1.9211,                 1.8195,                0.51443,                0.40085,                0.39614,                0.21739,                 1.7264,                 1.9088,                 1.9597,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.6186,                 1.9256,                 1.8175,                0.55032,                0.39389,                0.41177,                0.22839,                 1.7185,                 1.8695,                 1.9204,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.5997,                 1.8961,                 1.7953,                0.52501,                0.35912,                0.36302,                0.19618,                 1.7437,                 2.0305,                 1.9212,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.6093,                 1.8957,                 1.8008,                0.54708,                0.40063,                0.41748,                0.22503,                 1.7343,                 1.8695,                 1.9431,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.5953,                 1.8562,                  1.784,                0.51497,                0.40329,                0.41393,                0.23202,                 1.6983,                 1.8389,                 1.9228,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.5768,                  1.831,                 1.7749,                  0.512,                0.39799,                0.40165,                0.22325,                 1.7297,                 1.8624,                 1.9104,               0.001047,               0.001047,               0.001047
                     30,                 1.5868,                 1.8479,                 1.7785,                0.59091,                 0.3907,                0.42536,                0.23732,                 1.7119,                 1.8739,                 1.9303,              0.0010329,              0.0010329,              0.0010329
                     31,                  1.562,                 1.8326,                 1.7619,                0.56528,                0.43065,                 0.4329,                 0.2408,                 1.6684,                 1.8288,                 1.8684,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.5575,                 1.8179,                 1.7477,                0.53423,                0.41152,                 0.4258,                0.24104,                 1.6754,                  1.823,                 1.8827,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.5701,                 1.8006,                 1.7569,                0.58064,                0.41496,                0.44726,                0.24494,                 1.6877,                 1.7908,                 1.9041,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.5517,                 1.8071,                 1.7544,                0.56817,                 0.4256,                 0.4366,                0.24323,                 1.7018,                 1.7748,                 1.8962,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.5463,                 1.7714,                 1.7393,                0.54779,                0.44236,                0.45423,                0.24981,                 1.6683,                 1.7474,                 1.8756,             0.00096215,             0.00096215,             0.00096215
                     36,                  1.542,                 1.7766,                 1.7433,                0.56718,                0.40532,                0.43757,                0.25164,                 1.6652,                 1.8002,                 1.8748,               0.000948,               0.000948,               0.000948
                     37,                  1.537,                 1.7604,                 1.7348,                0.61081,                0.43409,                 0.4733,                0.26628,                 1.6647,                 1.6954,                 1.8601,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.5268,                 1.7583,                 1.7271,                0.55531,                0.43852,                0.45915,                0.25936,                 1.6398,                 1.7304,                 1.8518,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.5264,                 1.7395,                  1.724,                0.58578,                0.42987,                0.46797,                0.26535,                 1.6403,                  1.676,                 1.8519,             0.00090556,             0.00090556,             0.00090556
                     40,                  1.524,                 1.7263,                 1.7133,                0.56588,                0.43691,                0.45323,                0.25815,                 1.6452,                 1.7082,                   1.86,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.5095,                 1.7168,                 1.7086,                0.58671,                0.44734,                0.46267,                0.26639,                 1.6217,                 1.6806,                 1.8365,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.5003,                 1.6835,                 1.6939,                0.57838,                0.43619,                0.46143,                0.26336,                 1.6334,                 1.6944,                 1.8468,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.4994,                 1.6843,                 1.7011,                0.57086,                0.41905,                0.45957,                0.26438,                 1.6432,                 1.7167,                 1.8425,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.4981,                 1.6762,                 1.6937,                0.53873,                0.46265,                0.47412,                0.26956,                 1.6227,                 1.6348,                  1.828,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.4816,                 1.6592,                 1.6855,                0.57416,                0.44447,                 0.4781,                0.27497,                 1.6198,                 1.6518,                 1.8432,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.4914,                 1.6579,                 1.6791,                0.63134,                0.42665,                 0.4838,                0.27499,                 1.6078,                 1.6471,                 1.8091,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.4823,                 1.6403,                 1.6738,                0.57883,                0.45466,                0.47766,                0.27203,                 1.6156,                 1.6214,                  1.813,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.4932,                 1.6509,                 1.6792,                0.59714,                0.44517,                0.48339,                0.27771,                  1.617,                 1.6143,                  1.827,             0.00077823,             0.00077823,             0.00077823
                     49,                  1.485,                 1.6461,                 1.6769,                0.56813,                0.45489,                 0.4849,                0.27737,                 1.6229,                 1.6311,                 1.8145,             0.00076409,             0.00076409,             0.00076409
                     50,                  1.461,                 1.6085,                 1.6625,                0.57975,                0.44417,                0.47629,                0.27296,                 1.6352,                 1.6321,                 1.8166,             0.00074994,             0.00074994,             0.00074994
