                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6722,                 5.1624,                 4.1611,                0.00069,                0.00861,                0.00036,                0.00012,                 4.3602,                 5.0724,                 4.1776,                0.00062,                0.00062,                0.00062
                      2,                  3.477,                 3.1153,                 2.9751,                0.00061,                0.00775,                0.00032,                0.00013,                 4.5195,                 4.4612,                 4.4014,              0.0012538,              0.0012538,              0.0012538
                      3,                 2.9032,                 2.1176,                 2.0651,                0.00174,                0.00689,                0.00088,                0.00033,                 4.4713,                 4.4638,                 4.2648,              0.0018812,              0.0018812,              0.0018812
                      4,                 2.4731,                  1.628,                 1.6218,                0.43893,                 0.1938,                0.17679,                0.06632,                 2.4756,                 1.8412,                 1.8793,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.2126,                 1.3625,                 1.4092,                0.54844,                0.33333,                0.35174,                0.15111,                 2.1627,                 1.3281,                 1.3784,              0.0019703,              0.0019703,              0.0019703
                      6,                 2.0932,                 1.2216,                 1.2834,                0.57759,                0.40568,                0.43541,                0.20155,                 1.9992,                 1.2279,                  1.273,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.9475,                 1.1252,                 1.2101,                0.63294,                0.44531,                0.48097,                 0.2251,                 1.7966,                 1.2219,                 1.2033,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.8729,                 1.0724,                 1.1711,                0.67155,                0.45047,                 0.5084,                0.25787,                 1.6928,                 1.0745,                 1.1613,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.7977,                 1.0263,                 1.1473,                0.63707,                0.48665,                0.53081,                0.24886,                 1.8259,                  1.071,                 1.1913,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.7558,                0.97894,                 1.1197,                0.70833,                 0.5334,                0.58439,                0.31613,                 1.5125,                0.91995,                 1.1103,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.6341,                0.92248,                 1.0901,                0.73646,                0.55383,                0.60996,                 0.3343,                 1.4656,                0.85144,                 1.0903,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.5679,                0.86029,                 1.0691,                0.74402,                 0.5702,                0.62785,                0.35173,                 1.3996,                0.81165,                 1.0733,               0.001901,               0.001901,               0.001901
