                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5992,                 4.0744,                 4.1695,                0.01792,                  0.077,                0.00563,                0.00156,                 3.2456,                 4.3334,                 3.9072,              0.0033243,              0.0033243,              0.0033243
                      2,                  2.998,                 3.6267,                 3.4957,                0.05459,                 0.0997,                0.02352,                0.00718,                 2.8637,                 4.4989,                 3.3696,              0.0066247,              0.0066247,              0.0066247
                      3,                 2.5078,                 3.1467,                  2.859,                0.13599,                0.16298,                0.07786,                0.02882,                 2.4305,                 3.3954,                 2.8436,               0.009892,               0.009892,               0.009892
                      4,                 2.2317,                 2.7939,                 2.4788,                0.23324,                0.19158,                0.14408,                0.06114,                 2.2194,                 2.8998,                 2.5416,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0649,                 2.5917,                 2.2962,                0.32511,                0.22962,                0.17822,                0.08524,                 2.0904,                 2.6875,                 2.4006,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.9975,                 2.4559,                 2.1985,                0.37273,                0.26911,                0.22779,                0.11179,                 2.0446,                 2.6655,                 2.3139,               0.009802,               0.009802,               0.009802
                      7,                 1.9367,                 2.3642,                 2.1265,                0.35805,                0.29087,                0.25842,                0.13604,                 1.9247,                 2.3983,                 2.2108,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.9076,                 2.2886,                 2.0756,                 0.3621,                 0.3114,                0.27076,                0.14093,                 1.9244,                 2.3601,                  2.177,               0.009703,               0.009703,               0.009703
                      9,                 1.8593,                 2.2407,                 2.0381,                 0.4318,                 0.3397,                0.30727,                0.16053,                 1.8854,                 2.2275,                 2.1354,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.8162,                 2.1793,                 1.9879,                0.42815,                0.35757,                0.31242,                0.16973,                 1.8173,                 2.2337,                 2.0869,               0.009604,               0.009604,               0.009604
                     11,                 1.8005,                 2.1433,                 1.9711,                0.50107,                0.31966,                  0.317,                0.17262,                 1.8124,                 2.2002,                  2.023,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.7756,                 2.0969,                 1.9408,                0.46416,                  0.357,                0.35313,                0.19498,                 1.7845,                 2.0626,                 2.0304,               0.009505,               0.009505,               0.009505
                     13,                 1.7687,                 2.0579,                 1.9263,                0.47896,                0.36304,                0.35153,                0.19292,                 1.7854,                 2.0886,                 2.0384,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.7535,                 2.0451,                 1.9062,                0.46988,                0.37494,                 0.3571,                0.20196,                  1.742,                  2.152,                 1.9739,               0.009406,               0.009406,               0.009406
                     15,                  1.733,                 2.0074,                 1.8875,                0.48293,                0.37175,                0.37436,                0.21028,                  1.745,                 2.0137,                 1.9526,              0.0093565,              0.0093565,              0.0093565
                     16,                  1.719,                 1.9858,                 1.8729,                0.53814,                0.37448,                 0.3798,                0.21263,                 1.7412,                 1.9917,                 1.9607,               0.009307,               0.009307,               0.009307
                     17,                  1.697,                  1.953,                 1.8545,                0.49517,                0.39979,                0.37809,                0.20746,                 1.7415,                  1.946,                 1.9674,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6823,                 1.9302,                 1.8411,                0.47696,                0.39337,                0.38035,                0.21273,                 1.7432,                   1.94,                 1.9533,               0.009208,               0.009208,               0.009208
                     19,                 1.6758,                 1.9161,                 1.8348,                0.49158,                0.40552,                0.38106,                0.21766,                 1.7022,                 1.9489,                 1.9135,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.6694,                 1.9024,                 1.8252,                0.49196,                0.41458,                 0.3924,                0.22065,                 1.6924,                 1.9362,                 1.8964,               0.009109,               0.009109,               0.009109
                     21,                 1.6712,                 1.8816,                 1.8108,                0.51006,                0.40301,                0.39349,                0.22515,                 1.6571,                 1.9256,                 1.8571,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.6572,                 1.8637,                 1.8002,                0.50676,                0.41185,                0.40494,                0.23404,                 1.6582,                 1.8753,                  1.871,                0.00901,                0.00901,                0.00901
                     23,                 1.6335,                 1.8478,                 1.7918,                0.49878,                0.43026,                0.40694,                0.23343,                 1.6551,                 1.8153,                 1.8848,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.6398,                 1.8313,                 1.7843,                0.50476,                0.43723,                0.42152,                0.24213,                  1.651,                 1.7964,                 1.8657,               0.008911,               0.008911,               0.008911
                     25,                 1.6265,                 1.8169,                 1.7769,                0.55041,                0.39555,                0.41848,                0.24074,                 1.6468,                 1.8365,                 1.8512,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.6307,                 1.8112,                 1.7749,                0.56467,                0.41849,                0.43081,                0.24319,                 1.6476,                 1.8036,                 1.8536,               0.008812,               0.008812,               0.008812
                     27,                 1.6078,                 1.7842,                 1.7625,                0.55437,                0.43295,                0.43479,                0.24487,                 1.6467,                 1.8178,                 1.8487,              0.0087625,              0.0087625,              0.0087625
                     28,                  1.617,                 1.7881,                 1.7616,                0.55116,                0.44556,                 0.4411,                0.25589,                 1.6178,                 1.7632,                  1.825,               0.008713,               0.008713,               0.008713
                     29,                 1.6053,                 1.7772,                 1.7527,                0.55284,                0.45692,                0.44501,                0.25932,                 1.6111,                  1.733,                  1.814,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.5968,                 1.7519,                 1.7451,                0.53821,                0.45898,                0.44393,                0.25578,                 1.6228,                 1.7303,                 1.8314,               0.008614,               0.008614,               0.008614
                     31,                 1.5993,                 1.7494,                 1.7429,                0.53546,                0.44585,                0.44233,                0.25931,                 1.6086,                 1.7135,                 1.8108,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.5901,                 1.7436,                 1.7369,                0.53689,                0.45722,                0.45666,                0.26208,                 1.5995,                 1.7178,                 1.7871,               0.008515,               0.008515,               0.008515
                     33,                 1.5823,                 1.7214,                 1.7217,                0.53831,                0.48586,                 0.4603,                0.27298,                 1.5875,                 1.6764,                 1.7966,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.5776,                 1.7185,                 1.7135,                0.56412,                0.45466,                0.45979,                0.26843,                 1.6143,                 1.6885,                 1.8058,               0.008416,               0.008416,               0.008416
                     35,                 1.5595,                 1.6972,                 1.7146,                0.55867,                0.47056,                0.45417,                0.26218,                 1.6153,                 1.7491,                 1.8016,              0.0083665,              0.0083665,              0.0083665
                     36,                  1.552,                 1.6978,                 1.7101,                 0.5673,                0.44332,                0.45438,                0.26579,                 1.5895,                 1.7036,                   1.79,               0.008317,               0.008317,               0.008317
                     37,                 1.5552,                 1.6592,                    1.7,                0.53948,                0.48474,                0.46231,                 0.2671,                 1.5899,                 1.6816,                 1.7793,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.5458,                 1.6702,                 1.6969,                0.55097,                 0.4693,                0.46642,                0.26971,                 1.5757,                 1.6664,                  1.775,               0.008218,               0.008218,               0.008218
                     39,                   1.55,                 1.6672,                 1.6976,                0.59058,                0.47228,                0.47813,                0.27867,                   1.56,                 1.6727,                  1.759,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.5398,                 1.6638,                 1.6849,                0.57096,                0.48506,                 0.4781,                0.27969,                 1.5636,                 1.6337,                 1.7628,               0.008119,               0.008119,               0.008119
                     41,                 1.5414,                 1.6629,                 1.6928,                 0.5627,                0.48068,                0.47811,                0.27899,                 1.5834,                  1.613,                 1.7775,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.5383,                 1.6475,                  1.689,                0.55842,                0.49006,                0.47228,                0.27444,                 1.5651,                 1.6586,                 1.7486,                0.00802,                0.00802,                0.00802
                     43,                 1.5248,                 1.6299,                 1.6735,                0.58194,                0.46838,                0.48129,                0.28103,                 1.5702,                 1.6327,                 1.7645,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.5292,                 1.6162,                  1.675,                0.54816,                0.46567,                 0.4747,                0.27709,                 1.5583,                  1.605,                 1.7578,               0.007921,               0.007921,               0.007921
                     45,                 1.5162,                 1.6135,                 1.6703,                0.56907,                0.47362,                0.47452,                0.27831,                   1.56,                 1.6228,                 1.7545,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.5243,                  1.613,                 1.6747,                0.56374,                0.49358,                0.48155,                0.28162,                  1.567,                 1.5767,                   1.75,               0.007822,               0.007822,               0.007822
                     47,                 1.5127,                 1.6145,                 1.6656,                0.56778,                0.48348,                0.48739,                0.28918,                 1.5614,                 1.5867,                  1.752,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.5048,                 1.6035,                 1.6569,                0.55156,                0.49024,                0.48694,                 0.2911,                  1.566,                 1.5647,                 1.7518,               0.007723,               0.007723,               0.007723
                     49,                 1.5032,                 1.5933,                  1.659,                0.58705,                0.49852,                0.49895,                0.29608,                 1.5406,                 1.5453,                 1.7341,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.5005,                 1.5947,                 1.6609,                0.59922,                0.48137,                 0.4922,                0.29235,                 1.5666,                 1.5856,                 1.7494,               0.007624,               0.007624,               0.007624
                     51,                 1.5045,                 1.5852,                 1.6522,                0.58404,                0.48902,                0.49706,                0.29233,                 1.5474,                 1.5608,                 1.7309,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.5002,                 1.5813,                 1.6462,                0.58568,                0.49885,                0.49564,                0.29234,                  1.553,                 1.5493,                 1.7406,               0.007525,               0.007525,               0.007525
                     53,                 1.4924,                 1.5671,                 1.6485,                0.60794,                0.47412,                0.49952,                0.29528,                 1.5443,                 1.5316,                 1.7244,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.4936,                 1.5612,                 1.6434,                0.57986,                0.49797,                 0.5018,                0.29526,                 1.5402,                 1.5556,                 1.7256,               0.007426,               0.007426,               0.007426
                     55,                 1.4953,                 1.5619,                 1.6446,                0.57704,                0.51376,                0.49686,                0.29421,                 1.5408,                 1.5549,                 1.7121,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.4776,                  1.547,                 1.6369,                 0.5711,                0.50655,                0.49988,                0.29722,                  1.528,                 1.5399,                 1.7073,               0.007327,               0.007327,               0.007327
                     57,                 1.4797,                 1.5584,                 1.6383,                0.58479,                0.49504,                0.50417,                0.30018,                   1.53,                 1.5219,                 1.7232,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.4831,                 1.5357,                 1.6315,                0.59567,                0.50105,                0.50676,                0.30044,                 1.5301,                 1.5351,                 1.7071,               0.007228,               0.007228,               0.007228
                     59,                 1.4748,                  1.534,                 1.6345,                0.57487,                0.50942,                0.50612,                0.30427,                 1.5218,                 1.5186,                 1.7095,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.4795,                  1.534,                  1.629,                0.57332,                0.51198,                0.50349,                0.29746,                 1.5375,                 1.5019,                  1.715,               0.007129,               0.007129,               0.007129
                     61,                 1.4652,                 1.5326,                 1.6217,                0.56596,                0.52106,                0.51496,                0.30782,                 1.5257,                 1.5026,                 1.7036,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.4749,                  1.528,                 1.6245,                0.58247,                0.49701,                0.50411,                0.30122,                 1.5512,                 1.5234,                 1.7267,                0.00703,                0.00703,                0.00703
                     63,                 1.4609,                 1.5087,                 1.6174,                  0.612,                0.49319,                0.51034,                0.30513,                 1.5302,                 1.4993,                 1.7099,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.4581,                 1.5138,                 1.6159,                0.58157,                0.50542,                 0.5093,                0.30227,                 1.5433,                 1.4965,                 1.7097,               0.006931,               0.006931,               0.006931
                     65,                 1.4636,                  1.497,                  1.612,                0.60007,                0.49282,                0.50512,                0.30216,                 1.5213,                 1.5034,                 1.6958,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.4708,                 1.5127,                 1.6216,                0.58166,                0.52321,                0.51397,                0.30618,                 1.4921,                 1.4743,                 1.6733,               0.006832,               0.006832,               0.006832
